a_doob_martingale_combinatorial | axiom | Doob martingale (combinatorial)
a_erdos_renyi_gnm | axiom | Erdos-Renyi G(n,m) model
a_property_b_hypergraph | axiom | Property B of a hypergraph
s_2_kappa_bounded_in_quotient | state | 2 kappa bounded in quotient
s_AD_equiconsistent_woodins | theorem | AD equiconsistent with infinitely many Woodins
s_AD_implies_PSP | theorem | AD implies perfect set property for all sets
s_AD_implies_baire_property | theorem | AD implies the Baire property for all sets
s_AD_implies_measurable | theorem | AD implies all sets Lebesgue measurable
s_AD_in_L_R | theorem | AD in L(ℝ) from large cardinals (Woodin)
s_CZ_lemma_dyadic | theorem | Calderón–Zygmund lemma (dyadic version)
s_GCH_in_L | theorem | V=L implies GCH in L
s_G_acts_on_tree_with_finite_edge_stabilizers | state | G acts on tree with finite edge stabilizers
s_HOD_R_ordinals_inner_model | state | HOD R ordinals inner model
s_H_action_on_bass_serre_tree | state | H action on bass serre tree
s_L1_L_inf_endpoint | state | L1 L inf endpoint
s_L1_bounded_martingale | axiom | L1 bounded martingale
s_L_as_kG_module | state | L as kG module
s_L_hierarchy_L_alpha | state | L hierarchy L alpha
s_L_models_ZF | state | L models ZF
s_L_of_A | state | Constructible closure L(A)
s_Lp_bounded_martingale | axiom | Lp bounded martingale
s_MA_aleph0_theorem | theorem | MA_{ℵ₀} is a theorem of ZFC
s_MA_aleph1_negates_CH | theorem | MA_{ℵ₁} implies ¬CH
s_MA_implies_SH | theorem | Martin's axiom and Suslin's hypothesis
s_MA_measure_category | theorem | MA and additivity of measure/category
s_M_bar_equals_L_beta | state | M bar equals L beta
s_OS_axioms_reflection_positivity | axiom | OS axioms reflection positivity
s_PA_proof_theoretic_ordinal_epsilon_0 | theorem | Specker–Ackermann ordinal of PA / Gentzen analysis
s_PFA_consequences | theorem | Proper Forcing Axiom consequences (Todorčević)
s_TV_distance_to_stationary_renewal_zero | state | TV distance to stationary renewal zero
s_T_as_ccc_poset | state | T as ccc poset
s_a_e_convergent_bounded_L_p_sequence | axiom | a e convergent bounded L p sequence
s_a_s_convergence_via_levy_equivalence | state | a s convergence via levy equivalence
s_abelian_l_equals_hecke | theorem | Abelian Artin L-function equals Hecke L-function
s_abscissa_of_absolute_convergence | axiom | Abscissa of absolute convergence
s_abscissa_relation | theorem | Abscissa of convergence vs absolute convergence relation
s_absolute_coequalizer | axiom | Absolute coequalizer
