s_euclidean_plane | axiom | Euclidean plane ℝ²
s_euclidean_3_space | axiom | Euclidean 3-space (sphere-packing context) ;; s_euclidean_solid_geometry
s_real_numbers | axiom | Real numbers ℝ ;; s_real_line
s_real_line_or_circle | axiom | ℝ or 𝕋¹
s_complex_numbers | axiom | Complex numbers ℂ
s_integers | axiom | Integers ℤ
s_naturals_with_multiplication | axiom | Naturals ℕ (with multiplication)
s_divisibility_definition | axiom | Divisibility relation
s_euclid_lemma | axiom | Euclid's Lemma
s_zfc_axioms | axiom | ZFC axioms
s_first_order_peano_arithmetic | axiom | Peano arithmetic (first-order)
s_turing_machine_model | axiom | Turing machine model
s_probability_axioms | axiom | Probability axioms (Kolmogorov)
s_newtonian_inverse_square_force | axiom | Newtonian inverse-square force law
s_conic_sections | axiom | Conic sections
s_graph_definition | axiom | Graph (V, E)
s_projective_plane | axiom | Projective plane ℙ²
s_projective_space_axioms | axiom | Projective space axioms
s_area_additivity | axiom | Area additivity
s_circle_definition | axiom | Circle (as locus)
s_polygon_area_formula | axiom | Polygon area formula
s_isosceles_triangle_base_angles_equal | axiom | Pons asinorum
s_similar_triangle_criterion | axiom | AA similarity
s_coprime_pair | axiom | Coprime pair
s_prime_p | axiom | Prime p
s_prime_p_equiv_1_mod_4 | axiom | Prime p ≡ 1 (mod 4)
s_prime_power_divisor_p_n | axiom | Prime-power divisor pⁿ
s_pell_equation_x2_minus_N_y2 | axiom | Pell equation x² − Ny² = 1
s_radical_extension_tower | axiom | Radical extension tower
s_field_extension_L_over_K | axiom | Field extension L/K
s_group_action | axiom | Group action
s_differential_form | axiom | Differential form
s_divisor_on_curve | axiom | Divisor on curve
s_sublinear_functional_p | axiom | Sublinear functional p
s_linear_functional_on_subspace | axiom | Linear functional on subspace
s_family_of_compact_spaces | axiom | Family of compact spaces
s_product_topology | axiom | Product topology
s_iid_sequence_finite_variance | axiom | IID sequence (finite variance)
s_smooth_function | axiom | Smooth function
s_analytic_exponential_series | axiom | Exponential series Σ zⁿ/n!
s_unit_circle_in_C | axiom | Unit circle in ℂ
s_convex_polyhedron | axiom | Convex polyhedron
s_topological_sphere_S2 | axiom | Topological sphere S²
s_sine_function | axiom | Sine function sin(x)
s_real_analysis | axiom | Real analysis framework
s_continuous_function_on_interval | axiom | Continuous function on [a,b]
s_mean_value_theorem | axiom | Mean value theorem (lemma)
s_euler_four_square_identity | axiom | Euler four-square identity
s_prime_pair_p_q | axiom | Prime pair (p,q)
s_smooth_surface_in_R3 | axiom | Smooth surface in ℝ³
s_first_fundamental_form | axiom | First fundamental form
s_holomorphic_function_on_domain | axiom | Holomorphic function on domain
s_polynomial_ring_over_Q | axiom | Polynomial ring ℚ[x]
s_simply_connected_proper_domain_in_C | axiom | Simply connected proper domain in ℂ
s_compact_riemann_surface | axiom | Compact Riemann surface
s_primes_in_naturals | axiom | Primes in ℕ ;; s_prime_numbers
s_riemann_zeta_function | axiom | Riemann zeta function ζ(s)
s_finite_group | axiom | Finite group G
s_closed_ball_D_n | axiom | Closed ball Dⁿ
s_continuous_self_map | axiom | Continuous self-map
s_lagrangian_action_integral | axiom | Lagrangian action integral
s_lie_group | axiom | Lie group
s_complete_metric_space | axiom | Complete metric space
s_strict_contraction | axiom | Strict contraction
s_real_vector_space | axiom | Real vector space
s_noetherian_ring_R | axiom | Noetherian ring R
s_polynomial_ring | axiom | Polynomial ring R[x]
s_algebraically_closed_field_k | axiom | Algebraically closed field k
s_polynomial_ring_in_n_vars | axiom | Polynomial ring k[x₁,…,xₙ]
s_infinite_set | axiom | Infinite set
s_k_coloring_of_pairs | axiom | k-coloring of pairs
s_measure_preserving_transformation | axiom | Measure-preserving transformation
s_L2_function_space | axiom | L² function space
s_compact_smooth_manifold | axiom | Compact smooth manifold
s_elliptic_operator_D | axiom | Elliptic operator D
s_finite_simple_group | axiom | Finite simple group
s_planar_graph | axiom | Planar graph
s_proper_vertex_coloring | axiom | Proper vertex coloring
s_smooth_projective_curve_over_Q | axiom | Smooth projective curve over ℚ
s_jacobian_variety | axiom | Jacobian variety
s_elliptic_curve_over_Q | axiom | Elliptic curve over ℚ
s_modular_form | axiom | Modular form
s_galois_representation | axiom | Galois representation
s_closed_3_manifold | axiom | Closed 3-manifold
s_riemannian_metric | axiom | Riemannian metric
s_unit_balls_sphere_packing | axiom | Unit ball sphere packing
s_szemeredi_theorem | axiom | Szemerédi's theorem (input to Green–Tao)
s_admissible_k_tuple | axiom | Admissible k-tuple
s_minor_ordering | axiom | Minor ordering on graphs
s_positive_density_subset | axiom | Positive-density subset (of ℤ)
s_smooth_manifold_with_boundary | axiom | Smooth manifold with boundary
s_right_triangle_in_plane | state | Right triangle in plane
s_two_similar_subtriangles | state | Two similar subtriangles
s_segment_length_identity_on_hypotenuse | state | Segment-length identity on hypotenuse
s_triangle_inscribed_in_semicircle | state | Triangle inscribed in semicircle
s_two_isosceles_subtriangles | state | Two isosceles subtriangles
s_finite_list_of_primes | state | Finite list of primes {p₁,…,pₖ}
s_new_number_N_coprime_to_all_primes_in_list | state | N = p₁⋯pₖ + 1
s_uniqueness_of_prime_factorization | state | Uniqueness of prime factorization
s_circle | state | Circle (as 2D object)
s_inscribed_circumscribed_96_gons | state | Inscribed/circumscribed 96-gons
s_sphere | state | Sphere (as 3D object)
s_sphere_as_solid_of_revolution | state | Sphere as solid of revolution
s_cyclic_quadrilateral | state | Cyclic quadrilateral
s_pair_of_similar_triangles_on_diagonal | state | Pair of similar triangles on diagonal
s_pair_of_coprime_moduli | state | Pair of coprime moduli (m,n)
s_idempotent_pair_mod_mn | state | Idempotent pair mod mn
s_near_solution_triple_a_b_k | state | Near-solution triple (a,b,k)
s_composed_triple_mod_scaling | state | Composed triple (after bhāvanā)
s_general_cubic_ax3_plus_bx2_plus_cx_plus_d | state | General cubic ax³+bx²+cx+d
s_depressed_cubic_t3_plus_pt_plus_q | state | Depressed cubic t³+pt+q
s_system_sum_and_product_of_cubes | state | System u+v=?, uv=?
s_general_quartic | state | General quartic
s_depressed_quartic | state | Depressed quartic
s_resolvent_cubic | state | Resolvent cubic
s_two_triangles_in_perspective_in_plane | state | Two triangles in perspective (plane)
s_two_triangles_in_perspective_in_space | state | Two triangles in perspective (space)
s_axis_of_perspective | state | Axis of perspective
s_multiplicative_group_mod_p | state | (ℤ/p)*
s_orbit_of_a_mod_p | state | Orbit of a mod p
s_existence_of_x_with_x2_equiv_minus1 | state | x with x² ≡ -1 (mod p)
s_small_a_b_with_a2_plus_b2_equiv_0_mod_p | state | (a,b) with a²+b² ≡ 0 (mod p)
s_integral_as_limit_of_sums | state | Integral as limit of Riemann sums
s_tycho_brahe_observation_table | state | Tycho Brahe observation table
s_T_squared_prop_a_cubed_conjecture | state | T² ∝ a³ conjecture
s_third_law | state | Third law (verified)
s_polynomial_approximation_of_order_n | state | Order-n polynomial approximation
s_complex_number_cos_theta_plus_i_sin_theta | state | cos θ + i sin θ
s_multiplicative_law_on_unit_circle | state | Multiplicative law on S¹
s_series_for_e_i_theta | state | Series for e^{iθ}
s_triangulated_sphere_S2 | state | Triangulated S²
s_sin_x_as_infinite_product | state | sin(x) = x ∏(1 - x²/n²π²)
s_konigsberg_bridge_configuration | state | Königsberg bridge configuration
s_abstract_multigraph | state | Abstract multigraph
s_complex_polynomial_p_z | state | Complex polynomial p(z)
s_two_real_algebraic_curves_in_plane | state | Two real algebraic curves in ℝ²
s_intersection_exists | state | Intersection exists (lemma)
s_auxiliary_mp_equals_sum_of_four_squares | state | mp = a²+b²+c²+d² (with small m)
s_prime_as_sum_of_four_squares | state | p = sum of four squares
s_characteristic_function_of_sum | state | Characteristic function of sum
s_limit_characteristic_function_equals_gaussian | state | Limit characteristic function = e^{-t²/2}
s_legendre_symbol_table | state | Legendre symbol table
s_reciprocity_conjecture | state | Reciprocity conjecture
s_refined_reciprocity_conjecture | state | Refined reciprocity conjecture
s_gauss_curvature_K | state | Gaussian curvature K
s_compact_oriented_surface_without_boundary | state | Compact oriented surface ∂=∅
s_geodesic_triangulation | state | Geodesic triangulation
s_local_angle_defect_identity | state | Local angle-defect identity
s_cauchy_integral_theorem | state | Cauchy integral theorem (lemma)
s_quintic_polynomial | state | Generic quintic polynomial
s_galois_group_S5 | state | Galois group S₅
s_A5_is_simple_non_abelian | state | A₅ is simple non-abelian
s_finite_normal_separable_extension_L_over_K | state | Finite normal separable extension L/K
s_galois_group | state | Galois group Gal(L/K)
s_intermediate_fields_of_L | state | Lattice of intermediate fields
s_galois_correspondence | state | Galois correspondence
s_heat_conduction_on_rod | state | Heat conduction on rod (physical)
s_heat_equation_PDE | state | Heat equation PDE ∂u/∂t = α∂²u/∂x²
s_mode_by_mode_ODE_system | state | Mode-by-mode ODE system
s_differential_form_omega_on_manifold | state | Differential form ω on M
s_d_omega_in_local_coords | state | dω in local coordinates
s_family_F_of_injective_holomorphic_maps_to_unit_disk | state | Family F of injective hol maps to 𝔻
s_extremal_map_f_star | state | Extremal map f*
s_sheaf_O_D_on_curve | state | Sheaf O(D) on curve
s_euler_characteristic_chi_O_D | state | Euler char χ(O(D))
s_divisor_D | state | Divisor D (specific)
s_euler_product_zeta | state | Euler product ζ(s) = ∏(1-p⁻ˢ)⁻¹
s_meromorphic_zeta_on_plane | state | Meromorphic ζ on ℂ \ {1}
s_zeta_nonvanishing_on_line_Re_1 | state | ζ(1+it) ≠ 0
s_finite_group_G_with_order_divisible_by_p_n | state | Finite G with pⁿ | |G|
s_set_of_p_subgroups_with_G_action | state | p-subgroups with G-conjugation action
s_alleged_enumeration_of_reals_in_0_1 | state | Alleged enumeration of ℝ ∩ [0,1]
s_real_not_in_list | state | Real not in list
s_continuous_function_on_closed_interval | state | Continuous f on closed interval
s_smooth_approximant_f_epsilon | state | Smooth approximant f_ε
s_ideal_in_R_x | state | Ideal in R[x]
s_finite_generating_set_of_ideal | state | Finite generating set of ideal
s_maximal_ideal_m_in_k_x_1_x_n | state | Maximal ideal m ⊂ k[x₁,…,xₙ]
s_point_in_affine_n_space | state | Point in affine n-space
s_ideal_I | state | Ideal I
s_vanishing_variety_V_I | state | Vanishing variety V(I)
s_continuous_self_map_of_disk_without_fixed_point | state | Continuous self-map of Dⁿ (no fixed pt)
s_retraction_to_boundary_sphere | state | Retraction Dⁿ → ∂Dⁿ
s_contradiction_no_retraction | state | No retraction Dⁿ → ∂Dⁿ (contradiction)
s_infinitesimal_action_variation | state | Infinitesimal action variation
s_syntactic_predicates_as_arithmetic_predicates | state | Syntactic predicates arithmetized
s_self_referential_godel_sentence_G | state | Gödel sentence G
s_alleged_decider_H_for_halting | state | Alleged halting decider H
s_encoding_of_machines_as_data | state | Encoding of TMs as data
s_self_contradictory_machine_D | state | Self-contradictory machine D
s_model_L_of_ZFC_plus_GCH | state | Model L (constructible universe)
s_godel_L_model | state | Gödel L model (alias) ;; s_model_L_of_ZFC_plus_GCH
s_nested_monochromatic_sequence | state | Nested monochromatic sequence
s_ultrafilter_limit_in_product | state | Ultrafilter limit in ∏Xᵢ
s_invariant_subspace_decomposition | state | Invariant subspace decomposition
s_elliptic_operator_D_on_manifold | state | Elliptic operator D on M
s_principal_symbol_in_K_theory_of_TM | state | Principal symbol in K(T*M)
s_topological_index_class_in_K_of_point | state | Topological index in K(pt)=ℤ
s_component_type_and_characteristic_p_type_cases | state | Component/char-p type cases
s_case_exhaustion_complete | state | Case exhaustion complete
s_model_of_ZFC_plus_not_CH | state | Model of ZFC + ¬CH
s_finite_list_of_1500_configurations | state | Unavoidable set of ~1500 configs
s_four_color_theorem_machine_certified | state | Four Color Theorem (machine-certified)
s_curve_of_genus_at_least_2 | state | Curve C, genus ≥ 2
s_curve_inside_abelian_variety | state | C ↪ Jacobian J_C
s_finiteness_of_isogeny_class | state | Finiteness of isogeny class
s_hypothetical_FLT_solution_a_n_plus_b_n_equals_c_n | state | Hypothetical FLT solution aⁿ+bⁿ=cⁿ
s_frey_elliptic_curve | state | Frey elliptic curve y²=x(x-aⁿ)(x+bⁿ)
s_non_modular_galois_representation_required | state | Non-modular mod-ℓ rep (required)
s_semistable_modularity_theorem | state | Semistable modularity theorem
s_ricci_flow_equation | state | Ricci flow eq. ∂g/∂t = -2Ric(g)
s_long_time_decomposition_into_geometric_pieces | state | Long-time decomposition into geometric pieces
s_thurston_eight_geometries_classification | state | Thurston 8 geometries
s_sphere_packing_density_functional | state | Sphere-packing density functional
s_finite_family_of_local_star_configurations | state | Finite family of local star configs
s_kepler_conjecture_machine_certified | state | Kepler conjecture (Flyspeck-verified)
s_primes_with_density_zero | state | Primes with density 0
s_relative_szemeredi_for_pseudorandom_majorants | state | Relative Szemerédi (pseudorandom majorants)
s_aps_in_pseudorandom_dense_subset | state | APs in pseudorandom dense subset
s_goldston_yildirim_sieve_majorant | state | Goldston–Yıldırım sieve majorant
s_positive_lower_bound_on_prime_pairs_in_tuple | state | Positive lower bound on prime pairs in tuple
s_gap_bound_246 | state | Gap bound 246 (Polymath8)
s_integer_N_odd_and_larger_than_5 | state | Odd integer N > 5
s_circle_integral_for_r3_N | state | Circle integral for r₃(N)
s_major_arc_asymptotic_plus_minor_arc_error | state | Major/minor arc decomposition
s_infinite_sequence_of_graphs | state | Infinite sequence of graphs
s_tree_width_decomposition | state | Tree-width decomposition
s_positive_density_subset_of_integers | state | Positive-density subset of ℤ
s_furstenberg_system_with_positive_measure_A | state | Furstenberg system with μ(A)>0
s_multiple_recurrence_for_A | state | Multiple recurrence for A
s_one_dim_extension_step | state | One-dim extension step (Hahn–Banach)
s_pythagorean_theorem | theorem | Pythagorean theorem
s_thales_theorem | theorem | Thales's theorem
s_infinitude_of_primes | theorem | Infinitude of primes
s_fundamental_theorem_of_arithmetic | theorem | Fundamental theorem of arithmetic
s_area_of_circle | theorem | Area of circle = πr²
s_volume_of_sphere | theorem | Volume of sphere = 4/3·πr³
s_ptolemys_theorem | theorem | Ptolemy's theorem
s_chinese_remainder_theorem | theorem | Chinese remainder theorem
s_solvability_of_pell_equation | theorem | Solvability of Pell's equation (Chakravāla)
s_cardano_cubic_formula | theorem | Cardano's cubic formula
s_ferrari_quartic_formula | theorem | Ferrari's quartic formula
s_desargues_theorem | theorem | Desargues's theorem
s_fermat_little_theorem | theorem | Fermat's little theorem
s_fermat_two_squares | theorem | Fermat's sum of two squares
s_fundamental_theorem_of_calculus | theorem | Fundamental theorem of calculus
s_kepler_three_laws | theorem | Kepler's three laws
s_taylor_theorem | theorem | Taylor's theorem
s_de_moivre_formula | theorem | De Moivre's formula
s_euler_formula | theorem | Euler's formula
s_euler_polyhedron_formula | theorem | Euler polyhedron formula V-E+F=2
s_basel_identity | theorem | Basel identity Σ1/n² = π²/6
s_eulerian_path_criterion | theorem | Eulerian path criterion
s_fundamental_theorem_of_algebra | theorem | Fundamental theorem of algebra
